submission_id,role,condition,criterion_id,criterion_name,human_score,llm_score,absolute_delta,divergence_category,notes
S51,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S51,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S51,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S52,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S52,official_sample,llm,unit_tests,Unit Tests,9.0,8.0,1.0,,
S52,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S52,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S52,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S52,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,9.0,1.0,,
S52,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S53,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.5,1.5,,
S53,official_sample,llm,unit_tests,Unit Tests,7.0,8.0,1.0,,
S53,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S53,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S53,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S53,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S53,official_sample,llm,readability_and_documentation,Readability and Documentation,4.0,8.5,4.5,,
S54,official_sample,llm,basic_functionality,Basic Functionality,7.0,8.5,1.5,,
S54,official_sample,llm,unit_tests,Unit Tests,0.0,0,0.0,,
S54,official_sample,llm,class_design,Class Design,6.0,6,0.0,,
S54,official_sample,llm,object_references,Object References and Composition,10.0,7,3.0,,
S54,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,9,1.0,,
S54,official_sample,llm,separation_of_concerns,Separation of Concerns,5.0,6,1.0,,
S54,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S55,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.0,1.0,,
S55,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S55,official_sample,llm,class_design,Class Design,9.0,9.0,0.0,,
S55,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S55,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S55,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S55,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S56,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S56,official_sample,llm,unit_tests,Unit Tests,9.0,7.5,1.5,,
S56,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S56,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S56,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S56,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S56,official_sample,llm,readability_and_documentation,Readability and Documentation,9.0,9.0,0.0,,
S57,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.0,2.0,,
S57,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S57,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S57,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S57,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,10.0,1.0,,
S57,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,9.0,2.0,,
S57,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,9.0,1.0,,
S58,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.5,0.5,,
S58,official_sample,llm,unit_tests,Unit Tests,8.5,8,0.5,,
S58,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S58,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S58,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S58,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10,0.0,,
S58,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,10,3.0,,
S59,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S59,official_sample,llm,unit_tests,Unit Tests,8.0,8.0,0.0,,
S59,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S59,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S59,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S59,official_sample,llm,separation_of_concerns,Separation of Concerns,6.0,8.0,2.0,,
S59,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S60,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S60,official_sample,llm,unit_tests,Unit Tests,6.0,7.0,1.0,,
S60,official_sample,llm,class_design,Class Design,9.0,9.0,0.0,,
S60,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S60,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S60,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S60,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S61,official_sample,llm,basic_functionality,Basic Functionality,8.5,8.5,0.0,,
S61,official_sample,llm,unit_tests,Unit Tests,8.0,8.5,0.5,,
S61,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S61,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S61,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S61,official_sample,llm,separation_of_concerns,Separation of Concerns,5.0,9.0,4.0,,
S61,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S62,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.0,0.0,,
S62,official_sample,llm,unit_tests,Unit Tests,9.0,9.0,0.0,,
S62,official_sample,llm,class_design,Class Design,9.0,9.0,0.0,,
S62,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S62,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S62,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,9.0,0.0,,
S62,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,10.0,3.0,,
S63,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.0,1.0,,
S63,official_sample,llm,unit_tests,Unit Tests,4.0,7.0,3.0,,
S63,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S63,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S63,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S63,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S63,official_sample,llm,readability_and_documentation,Readability and Documentation,7.0,9.0,2.0,,
S64,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.0,1.0,,
S64,official_sample,llm,unit_tests,Unit Tests,7.0,7.5,0.5,,
S64,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S64,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S64,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S64,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,9.5,0.5,,
S64,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,9.5,0.5,,
S65,official_sample,llm,basic_functionality,Basic Functionality,10.0,9.5,0.5,,
S65,official_sample,llm,unit_tests,Unit Tests,8.5,8.0,0.5,,
S65,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S65,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S65,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S65,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S65,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S66,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.0,0.0,,
S66,official_sample,llm,unit_tests,Unit Tests,7.0,10.0,3.0,,
S66,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S66,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S66,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S66,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10.0,3.0,,
S66,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S67,official_sample,llm,basic_functionality,Basic Functionality,9.0,10,1.0,,
S67,official_sample,llm,unit_tests,Unit Tests,9.5,10,0.5,,
S67,official_sample,llm,class_design,Class Design,10.0,9,1.0,,
S67,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S67,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S67,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10,2.0,,
S67,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S68,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S68,official_sample,llm,unit_tests,Unit Tests,7.0,8.5,1.5,,
S68,official_sample,llm,class_design,Class Design,9.0,10,1.0,,
S68,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S68,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S68,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,8,1.0,,
S68,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S69,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S69,official_sample,llm,unit_tests,Unit Tests,4.5,4.0,0.5,,
S69,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S69,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S69,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S69,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,9.0,0.0,,
S69,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S70,official_sample,llm,basic_functionality,Basic Functionality,10.0,10.0,0.0,,
S70,official_sample,llm,unit_tests,Unit Tests,9.5,10.0,0.5,,
S70,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S70,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S70,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S70,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S70,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S71,official_sample,llm,basic_functionality,Basic Functionality,10.0,8.5,1.5,,
S71,official_sample,llm,unit_tests,Unit Tests,10.0,10,0.0,,
S71,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S71,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S71,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9,0.0,,
S71,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,10,2.0,,
S71,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S72,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S72,official_sample,llm,unit_tests,Unit Tests,7.0,7.5,0.5,,
S72,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S72,official_sample,llm,object_references,Object References and Composition,10.0,9.0,1.0,,
S72,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S72,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S72,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S73,official_sample,llm,basic_functionality,Basic Functionality,7.0,9.0,2.0,,
S73,official_sample,llm,unit_tests,Unit Tests,5.0,6.0,1.0,,
S73,official_sample,llm,class_design,Class Design,6.0,6.0,0.0,,
S73,official_sample,llm,object_references,Object References and Composition,7.0,7.0,0.0,,
S73,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,9.0,1.0,,
S73,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,8.0,0.0,,
S73,official_sample,llm,readability_and_documentation,Readability and Documentation,6.0,10.0,4.0,,
S74,official_sample,llm,basic_functionality,Basic Functionality,9,8.5,0.5,,
S74,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S74,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S74,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S74,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S74,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,7.5,0.5,,
S74,official_sample,llm,readability_and_documentation,Readability and Documentation,0.0,6.0,6.0,,
S75,official_sample,llm,basic_functionality,Basic Functionality,8.5,8.5,0.0,,
S75,official_sample,llm,unit_tests,Unit Tests,10.0,10.0,0.0,,
S75,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S75,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S75,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,10.0,1.0,,
S75,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10.0,3.0,,
S75,official_sample,llm,readability_and_documentation,Readability and Documentation,5.0,10.0,5.0,,
S76,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S76,official_sample,llm,unit_tests,Unit Tests,2.0,3.0,1.0,,
S76,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S76,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S76,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S76,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,7.0,0.0,,
S76,official_sample,llm,readability_and_documentation,Readability and Documentation,5.0,7.0,2.0,,
S77,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.5,1.5,,
S77,official_sample,llm,unit_tests,Unit Tests,4.0,4.5,0.5,,
S77,official_sample,llm,class_design,Class Design,10.0,8.5,1.5,,
S77,official_sample,llm,object_references,Object References and Composition,9.0,10.0,1.0,,
S77,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S77,official_sample,llm,separation_of_concerns,Separation of Concerns,8.0,8.0,0.0,,
S77,official_sample,llm,readability_and_documentation,Readability and Documentation,3.0,7.0,4.0,,
S78,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.0,2.0,,
S78,official_sample,llm,unit_tests,Unit Tests,10.0,8.5,1.5,,
S78,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S78,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S78,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,10.0,1.0,,
S78,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S78,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S79,official_sample,llm,basic_functionality,Basic Functionality,8.0,5.0,3.0,,
S79,official_sample,llm,unit_tests,Unit Tests,7.0,8.0,1.0,,
S79,official_sample,llm,class_design,Class Design,9.0,10.0,1.0,,
S79,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S79,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,7.0,2.0,,
S79,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10.0,1.0,,
S79,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S80,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S80,official_sample,llm,unit_tests,Unit Tests,9.5,10,0.5,,
S80,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S80,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S80,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S80,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S80,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S81,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S81,official_sample,llm,unit_tests,Unit Tests,4.0,6.5,2.5,,
S81,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S81,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S81,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S81,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S81,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S82,official_sample,llm,basic_functionality,Basic Functionality,6.0,6.0,0.0,,
S82,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S82,official_sample,llm,class_design,Class Design,10.0,10.0,0.0,,
S82,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S82,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,9.0,0.0,,
S82,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10.0,0.0,,
S82,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10.0,0.0,,
S83,official_sample,llm,basic_functionality,Basic Functionality,9.0,7.5,1.5,,
S83,official_sample,llm,unit_tests,Unit Tests,7.0,6.5,0.5,,
S83,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S83,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S83,official_sample,llm,collections_and_arrays,Collections and Arrays,9.0,10,1.0,,
S83,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S83,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,9.0,1.0,,
S84,official_sample,llm,basic_functionality,Basic Functionality,9.0,8.5,0.5,,
S84,official_sample,llm,unit_tests,Unit Tests,7.0,8.5,1.5,,
S84,official_sample,llm,class_design,Class Design,9.0,10,1.0,,
S84,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S84,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,9,1.0,,
S84,official_sample,llm,separation_of_concerns,Separation of Concerns,10.0,10,0.0,,
S84,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
